epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.7223,1.37808,0.72441,0.99016,0.71753,0.000330709,0.000330709,0.000330709
2,40.1368,0.80565,0.80315,0.99803,0.53501,0.000598302,0.000598302,0.000598302
3,61.79,0.70743,0.79724,0.99606,0.57184,0.000799895,0.000799895,0.000799895
4,101.842,0.6223,0.81299,0.99606,0.52783,0.000703,0.000703,0.000703
5,167.366,0.56689,0.81693,0.99409,0.54011,0.000604,0.000604,0.000604
6,232.443,0.48517,0.87992,0.99606,0.39647,0.000505,0.000505,0.000505
7,266.831,0.41359,0.84055,0.99803,0.43972,0.000406,0.000406,0.000406
8,281.15,0.37321,0.83858,0.99803,0.47193,0.000307,0.000307,0.000307
9,295.945,0.33074,0.86417,1,0.37577,0.000208,0.000208,0.000208
10,310.524,0.30139,0.88189,1,0.368,0.000109,0.000109,0.000109
