epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.90061,1.18786,0.83536,0.99779,0.46167,0.000331126,0.000331126,0.000331126
2,15.7709,0.67831,0.89613,0.99779,0.31742,0.000642532,0.000642532,0.000642532
3,21.2693,0.57292,0.87072,0.99779,0.35143,0.000931938,0.000931938,0.000931938
4,26.6128,0.56773,0.89613,0.9989,0.28907,0.000901,0.000901,0.000901
5,31.7785,0.51403,0.90829,1,0.24839,0.000868,0.000868,0.000868
6,37.0725,0.48288,0.91823,1,0.24538,0.000835,0.000835,0.000835
7,42.267,0.43984,0.93481,1,0.21853,0.000802,0.000802,0.000802
8,47.5737,0.40441,0.94917,1,0.18422,0.000769,0.000769,0.000769
9,52.9845,0.38479,0.92044,1,0.25776,0.000736,0.000736,0.000736
10,58.3436,0.31999,0.9326,1,0.20949,0.000703,0.000703,0.000703
11,63.5902,0.2969,0.96464,0.9989,0.10268,0.00067,0.00067,0.00067
12,68.8242,0.29015,0.96354,1,0.10654,0.000637,0.000637,0.000637
13,73.9675,0.27777,0.96354,1,0.11399,0.000604,0.000604,0.000604
14,79.3356,0.25404,0.95359,1,0.13964,0.000571,0.000571,0.000571
15,84.7417,0.23499,0.98343,1,0.08913,0.000538,0.000538,0.000538
16,89.9984,0.1908,0.97901,1,0.07677,0.000505,0.000505,0.000505
17,95.1281,0.18114,0.98343,1,0.07168,0.000472,0.000472,0.000472
18,100.551,0.14865,0.98564,1,0.06747,0.000439,0.000439,0.000439
19,105.746,0.17876,0.98785,1,0.05005,0.000406,0.000406,0.000406
20,111.044,0.13529,0.99227,1,0.05277,0.000373,0.000373,0.000373
21,150.057,0.12513,0.98564,1,0.05035,0.00034,0.00034,0.00034
22,155.741,0.11814,0.99227,1,0.04104,0.000307,0.000307,0.000307
23,161.657,0.11071,0.99337,1,0.03629,0.000274,0.000274,0.000274
24,167.346,0.11143,0.99227,1,0.02789,0.000241,0.000241,0.000241
25,172.923,0.08831,0.99337,1,0.03628,0.000208,0.000208,0.000208
26,178.734,0.08755,0.99116,1,0.03541,0.000175,0.000175,0.000175
27,184.941,0.07915,0.99116,1,0.03867,0.000142,0.000142,0.000142
28,191.293,0.06665,0.99337,1,0.03837,0.000109,0.000109,0.000109
29,197.364,0.07116,0.99227,1,0.03519,7.6e-05,7.6e-05,7.6e-05
30,203,0.06221,0.99337,1,0.03453,4.3e-05,4.3e-05,4.3e-05
